,Country,Admin1,Facility name,Facility type,Ownership,Lat,Long,LL source
0,Angola,Bengo,Hospital Barra Do Dande,Hospital,Govt.,-8.656,13.4919,Google Earth
1,Angola,Bengo,Hospital Dos Dembos,Hospital,Govt.,-8.5026,14.5862,Google Earth
2,Angola,Bengo,Hospital Municipal de Ambriz,Municipal Hospital,Govt.,-7.8522,13.1307,Google Earth
3,Angola,Bengo,Hospital Municipal de Bula Atumba,Municipal Hospital,Govt.,-8.6742,14.7925,Google Earth
4,Angola,Bengo,Hospital Municipal de Dande,Municipal Hospital,Govt.,-8.5835,13.6569,Google Earth
5,Angola,Bengo,Hospital Municipal de Nambuangogo,Municipal Hospital,Govt.,-8.1328,14.2947,Google Earth
6,Angola,Bengo,Hospital Municipal de Pango Aluquem,Municipal Hospital,Govt.,-8.7131,14.4626,Google Earth
7,Angola,Bengo,Hospital Municipal de Quibaxe,Municipal Hospital,Govt.,-8.4996,14.5866,Google Earth
8,Angola,Bengo,Hospital Provincial de Bengo ,Provincial Hospital,Govt.,-8.5824,13.6594,Google Earth
9,Angola,Benguela,27 de Marto Health Post,Posto de Saúde,MoH,,,
10,Angola,Benguela,Abrigo Anjo da Guarda Health Centre,Centro de Saúde,MoH,-12.3507,13.5456,Combination
11,Angola,Benguela,Acude Health Post,Posto de Saúde,MoH,-12.4291,13.5415,Combination
12,Angola,Benguela,Alto Kapaca Health Post,Posto de Saúde,MoH,-12.9583,14.4234,Other
13,Angola,Benguela,Alto Liro Health Centre,Centro de Saúde,MoH,-11.9854,13.9792,Other
14,Angola,Benguela,Alto Niva Health Centre,Centro de Saúde,MoH,,,
15,Angola,Benguela,Alto-Catumbela Health Centre,Centro de Saúde,MoH,-12.95,14.75,Other
16,Angola,Benguela,Asseque Health Centre,Centro de Saúde,MoH,-12.5964,13.4597,Other
17,Angola,Benguela,Atuque Health Post,Posto de Saúde,MoH,-12.9736,14.6581,Other
18,Angola,Benguela,Babaera Health Post,Posto de Saúde,MoH,-12.8953,14.8021,Other
19,Angola,Benguela,Baia Farta Centro Materno Infantil,Centro Materno Infantil,MoH,-12.607,13.1983,Combination
20,Angola,Benguela,Baia-Azul Health Post,Posto de Saúde,MoH,-12.6196,13.2466,Other
21,Angola,Benguela,Baia-Elefantes Health Post,Posto de Saúde,MoH,-13.2333,12.7259,Other
22,Angola,Benguela,Baia-Farta Municipal Hospital,Municipal Hospital,Govt.,-12.6082,13.2001,Other
23,Angola,Benguela,Bairro 80 Health Post,Posto de Saúde,MoH,-13.0358,14.2766,Combination
24,Angola,Benguela,Balanca Health Post,Posto de Saúde,MoH,-12.392,14.0901,Other
25,Angola,Benguela,Balombo Municipal Hospital,Municipal Hospital,Govt.,-12.3491,14.7701,Other
26,Angola,Benguela,Beato Laval (Missao Njinga) Health Centre,Centro de Saúde,MoH,-12.6117,13.1957,Combination
27,Angola,Benguela,Bela Vista Baixa Health Post,Posto de Saúde,MoH,,,
28,Angola,Benguela,Bela Vista Health Post,Posto de Saúde,MoH,-12.5786,13.4025,Other
29,Angola,Benguela,Bela Vistal  Centro Materno Infantil,Centro de Saúde,MoH,-12.3687,13.5746,Other
30,Angola,Benguela,Benfica Health Post,Posto de Saúde,MoH,-12.5688,13.4081,Other
31,Angola,Benguela,Benguela 70 Hospital,Hospital,Govt.,-12.6235,13.2321,Google Earth
32,Angola,Benguela,Benguela 71 Health Post,Posto de Saúde,MoH,-12.5861,13.3902,Google Earth
33,Angola,Benguela,Benguela Centro Materno Infantil,Centro Materno Infantil,MoH,-12.5803,13.4078,Other
34,Angola,Benguela,Benguela Provincial Hospital,Provincial Hospital,Govt.,-12.5732,13.4007,Google Earth
35,Angola,Benguela,Benguela/Lobito Hospital,Central Hospital,Govt.,-12.35,13.55,Other
36,Angola,Benguela,Bimbas Health Post,Posto de Saúde,MoH,-12.6661,13.5087,Other
37,Angola,Benguela,Biopio Health Post,Posto de Saúde,MoH,-12.467,13.733,Encarta
38,Angola,Benguela,Boa Lembranta Health Post,Posto de Saúde,MoH,-12.9404,12.981,Other
39,Angola,Benguela,Bocoio Missao Catolica Health Post,Posto de Saúde,MoH,-12.4704,14.1405,Combination
40,Angola,Benguela,Bocoio Municipal Hospital,Municipal Hospital,Govt.,-12.4961,14.1361,Other
41,Angola,Benguela,Bolonguera Health Post,Posto de Saúde,MoH,-13.55,13.5833,Other
42,Angola,Benguela,Bumbua Health Post,Posto de Saúde,MoH,-12.9701,14.135,Other
43,Angola,Benguela,Bunjei Health Post,Posto de Saúde,MoH,-13.5825,13.9431,Combination
44,Angola,Benguela,Cachimano Health Post,Posto de Saúde,MoH,-13.0216,14.0027,Combination
45,Angola,Benguela,Cachimbumba Health Post,Posto de Saúde,MoH,-12.625,13.2373,Combination
46,Angola,Benguela,Cacula Health Post,Posto de Saúde,MoH,-11.9639,13.7861,Other
47,Angola,Benguela,Caimbambo Missao Catolica Health Post,Posto de Saúde,MoH,-13.0258,14.0018,Google Earth
48,Angola,Benguela,Caimbambo Municipal Hospital,Municipal Hospital,Govt.,-13.017,14.0,Other
49,Angola,Benguela,Cainde Health Post,Posto de Saúde,MoH,-13.2563,14.5106,Other
50,Angola,Benguela,Calei Health Post,Posto de Saúde,MoH,-13.0262,14.0013,Other
51,Angola,Benguela,Calomburaco Health Post,Posto de Saúde,MoH,-12.6068,13.3777,Other
52,Angola,Benguela,Calombwe Health Centre,Centro de Saúde,MoH,-12.5984,13.3935,Encarta
53,Angola,Benguela,Calondjindjo Health Post,Posto de Saúde,MoH,-13.0312,14.6439,Combination
54,Angola,Benguela,Calondo Health Post,Posto de Saúde,MoH,-13.031,14.0059,Combination
55,Angola,Benguela,Calossombekwa Health Centre,Centro de Saúde,MoH,-12.6116,13.4318,Other
56,Angola,Benguela,Calundo Health Post,Posto de Saúde,MoH,-12.7833,14.5833,Other
57,Angola,Benguela,Cambanda Health Centre,Centro de Saúde,MoH,-12.5913,13.4107,Other
58,Angola,Benguela,Cambangela Health Post,Posto de Saúde,MoH,-12.5742,13.4522,Other
59,Angola,Benguela,Camuine Health Post,Posto de Saúde,MoH,,,
60,Angola,Benguela,Camuine-Baixo Health Post,Posto de Saúde,MoH,-13.8209,14.2066,Other
61,Angola,Benguela,Camunda Health Centre,Centro de Saúde,MoH,-12.5934,13.4144,Other
62,Angola,Benguela,Cangoia Health Post,Posto de Saúde,MoH,-12.5703,14.2332,Other
63,Angola,Benguela,Canguengo Health Post,Posto de Saúde,MoH,-12.8966,13.1226,Other
64,Angola,Benguela,Canhamela Health Post,Posto de Saúde,MoH,-13.0328,14.0174,Combination
65,Angola,Benguela,Canjala Health Centre,Centro de Saúde,MoH,-11.9714,13.9939,Other
66,Angola,Benguela,Canjola Health Post,Posto de Saúde,MoH,-13.0653,14.8007,Other
67,Angola,Benguela,Caota Health Post,Posto de Saúde,MoH,-12.5993,13.4111,Other
68,Angola,Benguela,Capilongo Health Post,Posto de Saúde,MoH,-12.6242,13.6809,Other
69,Angola,Benguela,Cassai Health Post,Posto de Saúde,MoH,-12.3825,13.5963,Combination
70,Angola,Benguela,Casseque Health Post,Posto de Saúde,MoH,-13.3202,14.7256,Other
71,Angola,Benguela,Cassima Vivo Health Post,Posto de Saúde,MoH,-13.0259,14.0016,Google Earth
72,Angola,Benguela,Cassiva Health Post,Posto de Saúde,MoH,-13.0866,14.2898,Other
73,Angola,Benguela,Catanda Health Post,Posto de Saúde,MoH,-12.7,14.6667,Other
74,Angola,Benguela,Catchimbango Health Post,Posto de Saúde,MoH,-12.9679,14.5297,Combination
75,Angola,Benguela,Catengue Health Post,Posto de Saúde,MoH,-13.0333,13.75,Other
76,Angola,Benguela,Catumbela Municipal Hospital,Municipal Hospital,Govt.,-12.4317,13.5457,Google Earth
77,Angola,Benguela,Caundy Health Post,Posto de Saúde,MoH,-12.4371,13.5295,Combination
78,Angola,Benguela,Cavimbi2 Health Post,Posto de Saúde,MoH,-12.2014,14.3317,Other
79,Angola,Benguela,Cavindgiliti Health Post,Posto de Saúde,MoH,,,
80,Angola,Benguela,Cawango Health Post,Posto de Saúde,MoH,-12.5465,13.4318,Other
81,Angola,Benguela,Chacuma Health Post,Posto de Saúde,MoH,-12.8668,14.7884,Other
82,Angola,Benguela,Chamume Health Centre,Centro de Saúde,MoH,-12.7167,13.1,Other
83,Angola,Benguela,Chicandula Health Post,Posto de Saúde,MoH,,,
84,Angola,Benguela,Chico da Waity Health Post,Posto de Saúde,MoH,-12.2793,14.8161,Other
85,Angola,Benguela,Chila Health Centre,Centro de Saúde,MoH,-12.066,14.4861,Other
86,Angola,Benguela,Chimbambo Health Post,Posto de Saúde,MoH,,,
87,Angola,Benguela,Chimbassi Health Post,Posto de Saúde,MoH,-13.1833,14.2,Other
88,Angola,Benguela,Chimboa Health Post,Posto de Saúde,MoH,-12.9667,14.4667,Other
89,Angola,Benguela,Chindumbo Health Centre,Centro de Saúde,MoH,-12.956,13.1085,Other
90,Angola,Benguela,Chinduri Health Post,Posto de Saúde,MoH,-12.5905,14.2169,Other
91,Angola,Benguela,Chingongo Health Post,Posto de Saúde,MoH,-12.3167,14.5167,Other
92,Angola,Benguela,Chivole Health Post,Posto de Saúde,MoH,,,
93,Angola,Benguela,Cho Mujombue Health Post,Posto de Saúde,MoH,-13.5855,13.941,Other
94,Angola,Benguela,Chongoroi Municipal Hospital,Municipal Hospital,Govt.,-13.5733,13.9407,Other
95,Angola,Benguela,Chongoroil Centro Materno Infantil,Centro de Saúde,MoH,-13.567,13.95,Other
96,Angola,Benguela,Cotel Health Post,Posto de Saúde,MoH,-12.5493,13.4229,Combination
