Country,Hospital Name
Angola,Bongo Mission Hospital
Angola,Cajueiros General Hospital
Angola,Clínica Multiperfil
Angola,Hospital Our Lady of Peace (Nossa Senhora da Paz) (Spanish Wikipedia)
Angola,Josina Machel Hospital
Angola,Lucrécia Paím Maternity Hospital
Angola,Hospital Américo Boavida
Angola,Hospital Do Prenda
Angola,Hospital Geral Camama
Angola,Hospital Geral Kilamba Kiaxi
Angola,Hospital Municipal de Luanda
Angola,Hospital Neves Bendinha
Angola,Hospital Sanatório
Angola,Consol Provincial de Kuango Kubango
Angola,Hospital Municipal do Kuvango Municipal
Angola,Hospital Municipal de Cafunfo
Angola,Hospital Municipal de Lucapa
Angola,Hospital Municipal de Nzagi Cambulo
Angola,Hospital Provincial da Luanda Norte
Angola,Consol Provincial de Luanda Sul
Angola,Hospital Barra Do Dande
Angola,Hospital Dos Dembos
Angola,Benguela 70 Hospital
Angola,Caham Hospital
Angola,Chiulo Hospital
Angola,Curoca Hospital
Angola,Cuvelai Hospital
Angola,Namacunde Hospital
Angola,Oncocua Hospital
Angola,Bailundo Hospital
Angola,Caminho de Ferro de Benguela Hospital
Angola,Huambo Sanitorio Hospital
Angola,Agostino Neto Hospital
Angola,Capelongo Hospital
Angola,Igreja Evangelica Sinodal de Angola Hospital
Angola,Kapelongo Hospital
Angola,Missão Católica-Madre Isabel Hospital
Angola,Mitcha Hospital
Angola,P. Zeca Hospital
Angola,Pioneiro Zeca Hospital
Angola,Sanatório Hospital Lubango
Angola,Camucuio Hospital
Angola,Saco Mar Hospital
Angola,Sanatório Hospital Moçamedes
Angola,Uige Sanitorio Hospital
Burundi,2
Burundi,3
Burundi,4
Burundi,5
Burundi,6
Burundi,7
Burundi,8
Burundi,9
Burundi,10
Cameroon,Bankim Hôpital de District
Cameroon,Banyo Hôpital de District
Cameroon,Baptist Hospital Banyo
Cameroon,Boumdjere Regional Hôpital
Cameroon,Belel Centre Médical d'Arrondissement
Cameroon,Dang Centre Médical d'Arrondissement
Cameroon,Dibi Centre Médical d'Arrondissement
Cameroon,Dir Centre Médical d'Arrondissement
Cameroon,Djohong Hôpital de District
Cameroon,Galim-Tignère Centre Médical d'Arrondissement
Cameroon,Kontcha Centre Médical d'Arrondissement
Cameroon,Mayo-Baléo Centre Médical d'Arrondissement
Cameroon,Mayo-Darlé Centre Médical d'Arrondissement
Cameroon,Mbe Centre Médical d'Arrondissement
Cameroon,Meiganga Hôpital de District
Cameroon,Ngaoundal Centre Medical d’Arrondissement
Cameroon,Ngaoundere Hôpital Regional
Cameroon,Nyambaka Centre Médical d'Arrondissement
Cameroon,Protestant Hospital of Ngaoundéré
Cameroon,Songkolong Centre Médical d'Arrondissement
Cameroon,Tibati Centre Médical d'Arrondissement
Cameroon,Tignère Hôpital de District
Cameroon,Akonolinga Hôpital de District
Cameroon,Awaé Hôpital de District
Cameroon,Ayos Annex Hôpital Regional
Cameroon,Bafia Hôpital de District
Cameroon,Biyem-Assi Hôpital de District
Cameroon,Cabinet Medicale de La Cathedrale
Cameroon,Central Hospital of Yaoundé
Cameroon,Centre Hospitalier et Universitaire de Yaoundé
Cameroon,Cite Verte Hôpital de District
Cameroon,D'joungolo Hôpital de District
Cameroon,Ebebda Hôpital de District
Cameroon,Efoulan Hôpital de District
Cameroon,Elig-Mfomo Hôpital de District
Cameroon,Eséka Hôpital de District
Cameroon,Esse Hôpital de District
Cameroon,Essos Centre Hospital
Cameroon,Evodoula Hôpital de District
Cameroon,Hôpital Général de Yaoundé
Cameroon,Institute Pasteur (Ritha Moussongi)
Cameroon,Mbalmayo District Hospital
Cameroon,Mbandjock Hôpital de District
Cameroon,Mbankomo Hôpital de District
Cameroon,Mfou Hôpital de District
Cameroon,Monatélé Hôpital de District
Cameroon,Nanga Eboko Hôpital de District
Cameroon,Ndikiniméki Hôpital de District
Cameroon,Ngog-Mapubi Hôpital de District
Cameroon,Ngoumou Hôpital de District
Cameroon,Nkolndongo District Hospital
Cameroon,Ntui Hôpital de District
Cameroon,Obala Hôpital de District
Cameroon,Olembe Hôpital de District
Cameroon,Sa'a Hôpital de District
Cameroon,Soa Hôpital de District
Cameroon,"Yaoundé Gynaecology, Obstetrics and Pediatrics Hospital"
Cameroon,Yoko Hôpital de District
Cameroon,Abong-Mbang Hôpital de District
Cameroon,Batouri Hôpital de District
Cameroon,Bertoua Hôpital de District
Cameroon,Bétaré-Oya Hôpital de District
Cameroon,Doume Hôpital de District
Cameroon,Garoua Boulai Hôpital de District
Cameroon,Kette Hôpital de District
Cameroon,Lomie Hôpital de District
Cameroon,Mbang Hôpital de District
Cameroon,Messamena Hôpital de District
Cameroon,Moloundou Hôpital de District
Cameroon,Ndelele Hôpital de District
Cameroon,Nguelemendouka Hôpital de District
Cameroon,Yokadouma Hôpital de District
Cameroon,Bonamoussadi Ad Lucem Hôpital de District
Cameroon,Bonassama Hôpital de District
Cameroon,Chinese Hospital
Cameroon,Cite Des Palmiers Hôpital de District
Cameroon,Deido Hôpital de District
Cameroon,Dibombari Hôpital de District
