Country,Hospital Name,Location
Angola,Bongo Mission Hospital,"Huambo,Huambo Province"
Angola,Cajueiros General Hospital,"Cazenga,Luanda Province"
Angola,Clínica Multiperfil,"Luanda, Luanda Province"
Angola,Hospital Our Lady of Peace (Nossa Senhora da Paz)(Spanish Wikipedia),"Cubal,Benguela Province"
Angola,Josina Machel Hospital,"Luanda, Luanda Province"
Angola,Lucrécia Paím Maternity Hospital,"Luanda, Luanda Province"
Angola,Hospital Américo Boavida,"Luanda, Luanda Province"
Angola,Hospital Do Prenda,"Luanda, Luanda Province"
Angola,Hospital Geral Camama,"Luanda, Luanda Province"
Angola,Hospital Geral Kilamba Kiaxi,"Luanda, Luanda Province"
Angola,Hospital Municipal de Luanda,"Luanda, Luanda Province"
Angola,Hospital Neves Bendinha,"Luanda, Luanda Province"
Angola,Hospital Sanatório,"Luanda, Luanda Province"
Angola,Consol Provincial de Kuango Kubango,Kubango
Angola,Hospital Municipal do Kuvango Municipal,Kubango
Angola,Hospital Municipal de Cafunfo,Lunda Norte Province
Angola,Hospital Municipal de Lucapa,Lunda Norte Province
Angola,Hospital Municipal de Nzagi Cambulo,Lunda Norte Province
Angola,Hospital Provincial da Luanda Norte,Lunda Norte Province
Angola,Consol Provincial de Luanda Sul,Lunda Sul Province
Angola,Hospital Barra Do Dande,Bengo Province
Angola,Hospital Dos Dembos,Bengo Province
Angola,Benguela 70 Hospital,Benguela
Angola,Caham Hospital,Cunene Province
Angola,Chiulo Hospital,Cunene
Angola,Curoca Hospital,Cunene
Angola,Cuvelai Hospital,Cunene
Angola,Namacunde Hospital,Cunene
Angola,Oncocua Hospital,Cunene
Angola,Bailundo Hospital,Huambo
Angola,Caminho de Ferro de Benguela Hospital,Huambo
Angola,Huambo Sanitorio Hospital,Huambo
Angola,Agostino Neto Hospital,Huila Province
Angola,Capelongo Hospital,Huila
Angola,Igreja Evangelica Sinodal de Angola Hospital,Huila
Angola,Kapelongo Hospital,Huila
Angola,Missão Católica-Madre Isabel Hospital,Huila
Angola,Mitcha Hospital,Huila
Angola,P. Zeca Hospital,Huila
Angola,Pioneiro Zeca Hospital,Huila
Angola,Sanatório Hospital Lubango,Huila
Angola,Camucuio Hospital,Namibe
Angola,Saco Mar Hospital,Namibe
Angola,Sanatório Hospital Moçamedes,Namibe
Angola,Uige Sanitorio Hospital,Uige
Burundi,2,Food insecurity
Burundi,3,Long term effects of malnutrition on children
Burundi,4,Low sources
Burundi,5,Low reproductive health services
Burundi,6,Poverty
Burundi,7,HIV/AIDS
Burundi,8,Other infectious diseases
Burundi,9,Environmental issues
Burundi,10,Life expectancy is increasing
Cameroon,Bankim Hôpital de District,"District, Ministry of Public Health"
Cameroon,Banyo Hôpital de District,"District, Ministry of Public Health"
Cameroon,Baptist Hospital Banyo,"Non-profit, Cameroon Baptist Convention Healthcare"
Cameroon,Boumdjere Regional Hôpital,"Regional, Ministry of Public Health"
Cameroon,Belel Centre Médical d'Arrondissement,"Centre, Ministry of Public Health"
Cameroon,Dang Centre Médical d'Arrondissement,"Centre, Ministry of Public Health"
Cameroon,Dibi Centre Médical d'Arrondissement,"Centre, Ministry of Public Health"
Cameroon,Dir Centre Médical d'Arrondissement,"Centre, Ministry of Public Health"
Cameroon,Djohong Hôpital de District,"District, Ministry of Public Health"
Cameroon,Galim-Tignère Centre Médical d'Arrondissement,"Centre, Ministry of Public Health"
Cameroon,Kontcha Centre Médical d'Arrondissement,"Centre, Ministry of Public Health"
Cameroon,Mayo-Baléo Centre Médical d'Arrondissement,"Centre, Ministry of Public Health"
Cameroon,Mayo-Darlé Centre Médical d'Arrondissement,"Centre, Ministry of Public Health"
Cameroon,Mbe Centre Médical d'Arrondissement,"Centre, Ministry of Public Health"
Cameroon,Meiganga Hôpital de District,"District, Ministry of Public Health"
Cameroon,Ngaoundal Centre Medical d’Arrondissement,"Centre, Ministry of Public Health"
Cameroon,Ngaoundere Hôpital Regional,"Regional, Ministry of Public Health"
Cameroon,Nyambaka Centre Médical d'Arrondissement,"Centre, Ministry of Public Health"
Cameroon,Protestant Hospital of Ngaoundéré,"Non-profit, Global Health Ministries"
Cameroon,Songkolong Centre Médical d'Arrondissement,"Centre, Ministry of Public Health"
Cameroon,Tibati Centre Médical d'Arrondissement,"Centre, Ministry of Public Health"
Cameroon,Tignère Hôpital de District,"District, Ministry of Public Health"
Cameroon,Akonolinga Hôpital de District,"District, Ministry of Public Health"
Cameroon,Awaé Hôpital de District,"District, Ministry of Public Health"
Cameroon,Ayos Annex Hôpital Regional,"Regional, Ministry of Public Health"
Cameroon,Bafia Hôpital de District,"District, Ministry of Public Health"
Cameroon,Biyem-Assi Hôpital de District,"District, Ministry of Public Health"
Cameroon,Cabinet Medicale de La Cathedrale,"Private, Catholic Church"
Cameroon,Central Hospital of Yaoundé,"Central, Ministry of Public Health"
Cameroon,Centre Hospitalier et Universitaire de Yaoundé,"CHU,University of Yaoundé"
Cameroon,Cite Verte Hôpital de District,"District, Ministry of Public Health"
Cameroon,D'joungolo Hôpital de District,"District, Ministry of Public Health"
Cameroon,Ebebda Hôpital de District,"District, Ministry of Public Health"
Cameroon,Efoulan Hôpital de District,"District, Ministry of Public Health"
Cameroon,Elig-Mfomo Hôpital de District,"District, Ministry of Public Health"
Cameroon,Eséka Hôpital de District,"District, Ministry of Public Health"
Cameroon,Esse Hôpital de District,"District, Ministry of Public Health"
Cameroon,Essos Centre Hospital,"Centre, Ministry of Public Health"
Cameroon,Evodoula Hôpital de District,"District, Ministry of Public Health"
Cameroon,Hôpital Général de Yaoundé,General
Cameroon,Institute Pasteur (Ritha Moussongi),"Private, Pasteur Institute"
Cameroon,Mbalmayo District Hospital,"District, Ministry of Public Health"
Cameroon,Mbandjock Hôpital de District,"District, Ministry of Public Health"
Cameroon,Mbankomo Hôpital de District,"District, Ministry of Public Health"
Cameroon,Mfou Hôpital de District,"District, Ministry of Public Health"
Cameroon,Monatélé Hôpital de District,"District, Ministry of Public Health"
Cameroon,Nanga Eboko Hôpital de District,"District, Ministry of Public Health"
Cameroon,Ndikiniméki Hôpital de District,"District, Ministry of Public Health"
Cameroon,Ngog-Mapubi Hôpital de District,"District, Ministry of Public Health"
Cameroon,Ngoumou Hôpital de District,"District, Ministry of Public Health"
Cameroon,Nkolndongo District Hospital,"District, Ministry of Public Health"
Cameroon,Ntui Hôpital de District,"District, Ministry of Public Health"
Cameroon,Obala Hôpital de District,"District, Ministry of Public Health"
Cameroon,Olembe Hôpital de District,"District, Ministry of Public Health"
Cameroon,Sa'a Hôpital de District,"District, Ministry of Public Health"
Cameroon,Soa Hôpital de District,"District, Ministry of Public Health"
Cameroon,"Yaoundé Gynaecology, Obstetrics and Pediatrics Hospital","Specialist, Chinese Ministry of Health"
Cameroon,Yoko Hôpital de District,"District, Ministry of Public Health"
Cameroon,Abong-Mbang Hôpital de District,"District, Ministry of Public Health"
Cameroon,Batouri Hôpital de District,"District, Ministry of Public Health"
Cameroon,Bertoua Hôpital de District,"District, Ministry of Public Health"
Cameroon,Bétaré-Oya Hôpital de District,"District, Ministry of Public Health"
Cameroon,Doume Hôpital de District,"District, Ministry of Public Health"
Cameroon,Garoua Boulai Hôpital de District,"District, Ministry of Public Health"
Cameroon,Kette Hôpital de District,"District, Ministry of Public Health"
Cameroon,Lomie Hôpital de District,"District, Ministry of Public Health"
Cameroon,Mbang Hôpital de District,"District, Ministry of Public Health"
Cameroon,Messamena Hôpital de District,"District, Ministry of Public Health"
Cameroon,Moloundou Hôpital de District,"District, Ministry of Public Health"
Cameroon,Ndelele Hôpital de District,"District, Ministry of Public Health"
Cameroon,Nguelemendouka Hôpital de District,"District, Ministry of Public Health"
Cameroon,Yokadouma Hôpital de District,"District, Ministry of Public Health"
Cameroon,Bonamoussadi Ad Lucem Hôpital de District,"District, Ministry of Public Health"
Cameroon,Bonassama Hôpital de District,"District, Ministry of Public Health"
Cameroon,Chinese Hospital,"General hospital, Chinese Ministry of Health"
Cameroon,Cite Des Palmiers Hôpital de District,"District, Ministry of Public Health"
Cameroon,Deido Hôpital de District,"District, Ministry of Public Health"
